lat,lon,alt,date,device,os,version
40.7588005066,-73.9723510742,24.9481182098,2017-02-04 21:00:48,"iPhone8,2",10.2,1.1
40.7612533569,-73.9775085449,25,2017-02-04 21:13:36,"iPhone8,2",10.2,1.1
40.7622718811,-73.9861755371,22.2949008942,2017-02-04 22:32:32,"iPhone8,2",10.2,1.1
40.7353897095,-74.0010452271,17.7406272888,2017-02-04 22:43:12,"iPhone8,2",10.2,1.1
40.7237930298,-74.0005264282,10.8119735718,2017-02-04 22:53:52,"iPhone8,2",10.2,1.1
40.7211761475,-73.9944076538,14,2017-02-04 23:13:04,"iPhone8,2",10.2,1.1
40.7038764954,-73.9887313843,24.0668430328,2017-02-05 01:46:40,"iPhone8,2",10.2,1.1
40.6880760193,-73.9994354248,33,2017-02-05 01:53:04,"iPhone8,2",10.2,1.1
40.6641464233,-73.9916534424,31.4703903198,2017-02-05 02:03:44,"iPhone8,2",10.2,1.1
40.6643447876,-73.9914932251,29.4481201172,2017-02-05 13:49:52,"iPhone8,2",10.2,1.1
40.6703796387,-73.9885177612,31.3525676727,2017-02-05 18:37:52,"iPhone8,2",10.2,1.1
40.6812438965,-73.9954986572,33,2017-02-05 18:52:48,"iPhone8,2",10.2,1.1
40.6762199402,-73.9988174438,24.4757785797,2017-02-05 20:45:52,"iPhone8,2",10.2,1.1
40.6659126282,-73.9947052002,23.975894928,2017-02-05 21:07:12,"iPhone8,2",10.2,1.1
40.6642303467,-73.9915542603,30.9603462219,2017-02-06 13:26:24,"iPhone8,2",10.2,1.1
40.6703796387,-73.9885253906,30.1892147064,2017-02-06 14:26:08,"iPhone8,2",10.2,1.1
40.677028656,-73.983253479,20.2101097107,2017-02-06 14:32:32,"iPhone8,2",10.2,1.1
40.70129776,-73.9867477417,29.3975028992,2017-02-06 14:41:04,"iPhone8,2",10.2,1.1
40.7486190796,-73.9884719849,16.2296047211,2017-02-06 14:53:52,"iPhone8,2",10.2,1.1
40.7593650818,-73.9815673828,20.6469306946,2017-02-06 15:00:16,"iPhone8,2",10.2,1.1
40.7633056641,-73.9782562256,26.8089408875,2017-02-06 15:42:56,"iPhone8,2",10.2,1.1
40.7623596191,-73.9788513184,27.9656181335,2017-02-06 15:51:28,"iPhone8,2",10.2,1.1
